"sekce","vyska","vzdalenost","100 ","125 ","160 ","200 ","250 ","315 ","400 ","500 ","630 ","800 ","1000 ","1250 ","1600 ","2000 ","2500 ","3150 ","4000 ","5000 "
"vegetace",1.5,7.5,-0.9,-6.2,-14.1,-8.2,1.8,11.7,4.6,-3.7,-6.5,-2.8,2.7,-3.1,1.7,1.9,2.5,1.6,0.7,2.1
"vegetace",1.5,15,-1.2,-6.5,-9.8,-17.5,-8.8,0.3,8.6,14.8,3.1,-2.5,-6.0,-2.9,5.7,-6.7,-1.0,-4.9,-3.9,-4.3
"vegetace",1.5,30,-1.8,-5.4,-8.2,-16.8,-12.8,-3.0,1.6,5.6,6.7,4.0,-0.5,-4.6,-8.6,-9.6,-9.5,-1.8,-0.7,0.4
"vegetace",4,7.5,-4.3,-3.9,6.2,4.3,0.6,-3.7,-1.1,1.2,-1.6,1.0,-0.9,1.0,-1.2,-1.1,-1.1,0.6,-1.6,1.8
"vegetace",4,15,-3.1,-8.5,-7.2,8.6,8.1,2.0,-1.0,-4.4,4.3,-3.3,-3.5,-3.7,-0.3,-0.7,-2.0,-3.1,-2.1,-3.5
"vegetace",4,30,-4.4,-8.5,-11.2,-9.0,-1.3,7.5,9.5,8.2,-2.0,-5.8,-4.7,-0.1,-6.3,-3.2,-3.5,-5.2,-6.5,-7.5
"pas",1.5,7.5,-11.7,-21.0,-31.9,-26.6,-17.3,-18.2,-14.9,-20.1,-20.6,-19.8,-19.2,-16.6,-15.4,-17.2,-16.2,-16.8,-17.0,-17.8
"pas",1.5,15,-16.5,-25.0,-30.2,-37.3,-27.3,-23.6,-18.6,-20.3,-22.4,-22.9,-24.7,-24.1,-20.3,-26.7,-25.2,-25.4,-25.7,-27.4
"pas",1.5,30,-22.8,-30.1,-34.9,-42.3,-36.5,-32.8,-28.9,-29.6,-28.9,-28.2,-30.2,-31.1,-32.8,-35.7,-36.6,-34.3,-34.4,-35.3
"pas",4,7.5,-22.3,-32.1,-21.1,-14.6,-11.5,-19.6,-20.6,-17.4,-18.8,-18.0,-21.3,-22.4,-23.2,-21.5,-22.5,-25.3,-23.9,-22.3
"pas",4,15,-20.6,-31.1,-34.2,-23.8,-19.1,-21.6,-19.0,-24.7,-21.1,-24.3,-25.1,-25.2,-24.9,-30.2,-32.4,-31.5,-27.6,-29.5
"pas",4,30,-26.0,-34.3,-39.4,-36.7,-28.3,-26.3,-24.3,-25.5,-30.6,-31.6,-31.0,-33.4,-33.0,-34.0,-36.1,-35.7,-35.5,-38.2
