"sekce","vyska","vzdalenost","100 ","125 ","160 ","200 ","250 ","315 ","400 ","500 ","630 ","800 ","1000 ","1250 ","1600 ","2000 ","2500 ","3150 ","4000 ","5000 "
"vegetace",1.5,7.5,-3.4,-3.6,-5.8,-4.0,5.3,6.1,2.6,-0.9,-3.2,1.7,0.9,-0.1,1.9,2.5,2.6,3.7,-0.7,-0.3
"vegetace",1.5,15,-4.3,-2.7,-7.1,-7.4,-4.8,-2.1,3.7,5.1,3.8,2.1,1.1,-1.0,0.4,1.9,-1.1,-1.7,-4.0,-3.7
"vegetace",1.5,30,-5.1,-5.9,-10.1,-10.1,-10.8,-5.5,0.7,2.3,2.3,1.5,0.4,-2.7,-5.7,-9.2,-10.3,-7.8,-4.8,-8.1
"vegetace",4,7.5,-7.4,4.8,7.0,1.8,-0.1,-3.7,4.0,0.5,-0.4,0.5,2.1,2.2,0.0,-0.4,0.8,2.2,0.2,1.3
"vegetace",4,15,-5.8,-4.8,-7.5,5.2,9.6,2.7,-2.3,-4.7,-0.9,1.2,-1.7,-0.8,-1.9,-4.1,-1.5,-0.2,-3.0,-3.6
"vegetace",4,30,-6.7,-8.2,-7.6,-5.0,-0.5,4.2,4.7,2.8,-0.1,-2.1,-3.8,1.1,0.3,-2.4,-1.1,-5.5,-7.2,-12.4
"pas",1.5,7.5,-13.1,-17.1,-23.3,-24.0,-18.1,-17.8,-15.6,-15.0,-16.0,-17.1,-16.9,-15.6,-16.3,-17.2,-17.4,-19.2,-20.5,-20.2
"pas",1.5,15,-19.3,-21.4,-28.5,-30.5,-26.0,-27.3,-23.7,-22.9,-20.4,-20.4,-20.8,-21.9,-22.6,-23.4,-23.8,-29.1,-27.7,-29.5
"pas",1.5,30,-26.4,-31.0,-38.0,-39.7,-38.8,-38.2,-33.9,-32.3,-29.7,-29.4,-28.8,-28.8,-29.5,-35.3,-36.0,-37.4,-37.5,-41.2
"pas",4,7.5,-24.6,-23.1,-18.1,-15.8,-11.4,-18.5,-17.6,-15.6,-17.0,-16.2,-17.7,-20.2,-21.2,-16.4,-17.9,-20.6,-23.7,-24.9
"pas",4,15,-22.2,-25.8,-33.0,-27.0,-18.7,-20.6,-21.9,-23.8,-24.1,-22.2,-22.6,-24.8,-25.6,-27.8,-29.3,-28.8,-30.2,-31.6
"pas",4,30,-28.3,-33.8,-36.2,-36.0,-29.6,-29.4,-27.7,-27.3,-27.2,-28.9,-32.1,-31.8,-30.7,-34.1,-38.5,-40.8,-40.4,-44.7
