"sekce","vyska","vzdalenost","100 ","125 ","160 ","200 ","250 ","315 ","400 ","500 ","630 ","800 ","1000 ","1250 ","1600 ","2000 ","2500 ","3150 ","4000 ","5000 "
"vegetace",1.5,7.5,-5.9,-3.8,-0.7,8.0,5.1,-0.4,-4.0,-2.5,2.5,2.8,-1.9,2.2,-4.3,-1.5,-1.0,-1.8,-2.9,0.2
"vegetace",1.5,15,-6.5,-9.0,-4.4,1.3,5.8,2.3,-0.9,-1.7,-2.1,-3.8,-0.4,7.0,3.6,-4.5,-5.9,-0.9,-3.0,-3.5
"vegetace",1.5,30,-6.5,-11.2,-10.2,-2.8,6.2,2.5,-0.6,-0.5,-0.7,-3.3,-1.3,-2.7,-5.3,-3.3,-1.4,1.3,-4.6,-0.9
"vegetace",4,7.5,-0.9,7.2,2.2,-2.0,-2.9,1.7,0.6,-3.4,2.0,1.3,-0.9,1.6,2.1,2.0,2.0,3.4,0.4,2.2
"vegetace",4,15,-3.0,-1.4,6.8,1.8,-2.9,-2.0,-1.9,4.8,3.3,-5.0,3.2,-1.8,0.2,4.2,3.7,2.4,-0.2,-0.1
"vegetace",4,30,-6.3,-7.5,1.1,5.3,3.1,-1.0,-1.7,-3.3,-0.7,-0.9,4.9,-2.5,-6.7,2.6,1.3,-1.7,-0.2,0.9
"pas",1.5,7.5,-18.8,-22.1,-23.8,-21.9,-15.0,-17.9,-17.3,-17.7,-16.0,-17.7,-18.0,-17.2,-19.6,-23.3,-22.9,-22.7,-22.5,-21.3
"pas",1.5,15,-24.5,-31.4,-31.2,-30.1,-26.3,-27.1,-24.3,-24.0,-22.4,-24.1,-21.6,-19.1,-20.2,-27.9,-30.5,-27.0,-26.1,-29.4
"pas",1.5,30,-29.7,-39.6,-44.9,-43.1,-35.9,-36.0,-33.5,-32.3,-30.2,-31.3,-27.4,-26.0,-28.3,-31.5,-33.6,-35.2,-33.3,-33.5
"pas",4,7.5,-26.0,-18.8,-18.1,-17.3,-14.4,-17.9,-17.6,-19.5,-16.9,-16.9,-20.8,-22.9,-19.8,-17.3,-18.4,-24.4,-19.8,-24.2
"pas",4,15,-24.0,-29.0,-29.0,-27.6,-23.0,-22.5,-20.7,-20.5,-21.1,-25.9,-23.4,-26.2,-25.5,-28.0,-30.9,-32.2,-30.8,-29.7
"pas",4,30,-32.3,-39.5,-36.9,-34.3,-28.9,-31.7,-27.9,-29.4,-26.0,-28.0,-27.8,-31.9,-33.2,-34.1,-35.1,-37.1,-32.7,-34.7
