sekce,vzdalenost,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,LAeq
vegetace,7.5,-1.9,-3.2,-5.9,-10.5,5.0,7.9,3.4,-2.2,-5.2,0.2,-0.7,-2.6,-0.4,-0.6,-2.1,2.0,-1.1,-1.2,13.4
vegetace,15,-1.1,-3.1,-5.8,-9.3,-5.6,0.9,3.5,5.5,3.7,1.9,-1.6,-4.3,-2.7,0.2,-4.2,2.6,-2.2,-1.5,12.8
vegetace,30,-1.4,-3.9,-6.6,-12.9,-8.5,-1.9,1.8,3.6,4.0,3.8,0.9,-0.6,-4.6,-7.3,-7.3,-5.9,-2.1,-3.6,11.8
pas,7.5,-11.6,-16.7,-23.4,-30.5,-18.4,-16.0,-14.8,-16.3,-18.0,-18.6,-18.5,-18.1,-18.6,-20.3,-22.1,-20.9,-20.9,-21.1,-5.2
pas,15,-16.1,-21.8,-27.2,-32.4,-26.8,-24.3,-23.9,-22.5,-20.5,-20.6,-23.5,-25.2,-25.7,-25.1,-26.9,-24.8,-25.9,-27.3,-10.5
pas,30,-22.7,-29.0,-34.5,-42.5,-36.5,-34.6,-32.8,-31.0,-28.0,-27.1,-28.3,-26.7,-28.4,-33.4,-33.0,-35.5,-34.8,-36.7,-17.1
vzdalenost,7.5,-9.7,-13.5,-17.5,-20.0,-23.4,-23.9,-18.2,-14.1,-12.8,-18.8,-17.8,-15.5,-18.2,-19.7,-20.0,-22.9,-19.8,-19.9,-3.8
vzdalenost,15,-15.0,-18.7,-21.4,-23.1,-21.2,-25.2,-27.4,-28.0,-24.2,-22.5,-21.9,-20.9,-23.0,-25.3,-22.7,-27.4,-23.7,-25.8,-9.3
vzdalenost,30,-21.3,-25.1,-27.9,-29.6,-28.0,-32.7,-34.6,-34.6,-32.0,-30.9,-29.2,-26.1,-23.8,-26.1,-25.7,-29.6,-32.7,-33.1,-14.9
